Datum,Produkt,Verkaufte Menge,Einnahmen (EUR)
2024-12-30,Paprika,18,18.0
2024-12-19,Apfel,50,25.0
2025-01-12,Gurke,25,20.0
2025-01-11,Apfel,22,11.0
2024-12-27,Tomate,5,3.5
2025-01-06,Banane,47,14.1
2024-12-30,Zitrone,35,21.0
2024-12-15,Zitrone,27,16.2
2024-12-19,Zitrone,30,18.0
2025-01-06,Tomate,31,21.7
2025-01-04,Zitrone,32,19.2
2025-01-11,Tomate,18,12.6
2025-01-09,Banane,35,10.5
2025-01-06,Tomate,36,25.2
2025-01-07,Orange,17,11.05
2025-01-08,Gurke,38,30.4
2025-01-06,Karotte,45,18.0
2024-12-17,Gurke,5,4.0
2025-01-02,Zitrone,33,19.8
2025-01-03,Paprika,28,28.0
2025-01-08,Tomate,13,9.1
2025-01-06,Tomate,37,25.9
2024-12-25,Zitrone,34,20.4
2025-01-05,Banane,34,10.2
2025-01-06,Paprika,22,22.0
2025-01-06,Gurke,22,17.6
2025-01-07,Orange,32,20.8
2025-01-08,Tomate,40,28.0
2025-01-06,Zitrone,44,26.4
2024-12-26,Tomate,24,16.8
2025-01-03,Karotte,12,4.8
2025-01-06,Orange,22,14.3
2024-12-20,Tomate,46,32.2
2025-01-12,Zitrone,39,23.4
2024-12-28,Karotte,2,0.8
2025-01-03,Apfel,38,19.0
2025-01-11,Tomate,34,23.8
2024-12-29,Apfel,2,1.0
2025-01-11,Orange,39,25.35
2024-12-16,Tomate,48,33.6
2025-01-06,Orange,48,31.2
2025-01-10,Gurke,43,34.4
2024-12-15,Apfel,48,24.0
2024-12-31,Gurke,42,33.6
2025-01-01,Orange,29,18.85
2024-12-30,Zitrone,22,13.2
2025-01-01,Apfel,24,12.0
2025-01-10,Gurke,2,1.6
2024-12-16,Apfel,43,21.5
2025-01-01,Gurke,31,24.8
2024-12-22,Tomate,43,30.1
2025-01-07,Paprika,50,50.0
2025-01-09,Paprika,20,20.0
2025-01-06,Paprika,20,20.0
2025-01-06,Tomate,4,2.8
2024-12-15,Gurke,4,3.2
2025-01-10,Zitrone,23,13.8
2024-12-16,Zitrone,9,5.4
2024-12-22,Banane,16,4.8
2024-12-19,Karotte,13,5.2
2025-01-06,Orange,14,9.1
2024-12-17,Orange,37,24.05
2024-12-14,Tomate,18,12.6
2024-12-31,Paprika,40,40.0
2024-12-25,Zitrone,9,5.4
2024-12-19,Karotte,21,8.4
2024-12-25,Paprika,18,18.0
2025-01-08,Paprika,19,19.0
2024-12-26,Paprika,28,28.0
2025-01-01,Apfel,10,5.0
2024-12-27,Banane,39,11.7
2025-01-10,Zitrone,29,17.4
2024-12-25,Zitrone,26,15.6
2024-12-14,Tomate,9,6.3
2024-12-27,Gurke,21,16.8
2024-12-14,Tomate,25,17.5
2025-01-06,Tomate,6,4.2
2024-12-17,Apfel,14,7.0
2024-12-14,Gurke,16,12.8
2024-12-30,Gurke,46,36.8
2024-12-30,Paprika,26,26.0
2024-12-27,Zitrone,41,24.6
2024-12-31,Zitrone,16,9.6
2024-12-23,Gurke,18,14.4
2024-12-31,Orange,4,2.6
2024-12-20,Orange,46,29.9
2025-01-02,Orange,35,22.75
2025-01-03,Zitrone,47,28.2
2025-01-10,Banane,8,2.4
2024-12-15,Paprika,24,24.0
2024-12-23,Orange,8,5.2
2025-01-04,Tomate,33,23.1
2024-12-30,Tomate,50,35.0
2024-12-19,Tomate,32,22.4
2025-01-12,Karotte,47,18.8
2025-01-11,Gurke,48,38.4
2024-12-30,Orange,21,13.65
2024-12-25,Gurke,37,29.6
2024-12-31,Tomate,9,6.3
2024-12-25,Tomate,1,0.7
2024-12-16,Gurke,45,36.0
2025-01-12,Paprika,44,44.0
2024-12-29,Gurke,26,20.8
2024-12-19,Tomate,44,30.8
2024-12-17,Banane,11,3.3
2024-12-18,Paprika,22,22.0
2025-01-03,Banane,3,0.9
2024-12-29,Paprika,43,43.0
2025-01-08,Zitrone,16,9.6
2025-01-08,Paprika,23,23.0
2024-12-21,Orange,1,0.65
2024-12-18,Apfel,30,15.0
2025-01-04,Orange,40,26.0
2025-01-05,Tomate,7,4.9
2024-12-22,Zitrone,26,15.6
2024-12-15,Paprika,20,20.0
2024-12-22,Gurke,2,1.6
2025-01-02,Karotte,46,18.4
2025-01-09,Paprika,4,4.0
2024-12-31,Gurke,17,13.6
2024-12-28,Apfel,46,23.0
2025-01-05,Gurke,10,8.0
2024-12-24,Tomate,46,32.2
2024-12-17,Orange,7,4.55
2024-12-28,Tomate,13,9.1
2024-12-16,Karotte,16,6.4
2024-12-24,Banane,36,10.8
2024-12-21,Karotte,38,15.2
2025-01-01,Gurke,16,12.8
2024-12-22,Apfel,42,21.0
2025-01-09,Karotte,27,10.8
2024-12-24,Gurke,41,32.8
2024-12-16,Zitrone,19,11.4
2024-12-21,Karotte,25,10.0
2025-01-06,Orange,29,18.85
2024-12-26,Banane,13,3.9
2025-01-04,Tomate,14,9.8
2024-12-22,Tomate,13,9.1
2025-01-01,Banane,39,11.7
2024-12-29,Apfel,32,16.0
2025-01-12,Karotte,26,10.4
2024-12-20,Apfel,40,20.0
2024-12-26,Gurke,12,9.6
2024-12-15,Tomate,16,11.2
2025-01-04,Karotte,41,16.4
2025-01-09,Tomate,41,28.7
2024-12-30,Paprika,10,10.0
2025-01-10,Banane,43,12.9
2024-12-14,Tomate,7,4.9
2025-01-04,Orange,13,8.45
2024-12-15,Banane,40,12.0
2024-12-31,Banane,38,11.4
2024-12-20,Zitrone,6,3.6
2024-12-20,Orange,43,27.95
2025-01-08,Zitrone,7,4.2
2025-01-12,Tomate,5,3.5
2024-12-20,Orange,31,20.15
2024-12-23,Banane,3,0.9
2025-01-01,Apfel,49,24.5
2024-12-20,Zitrone,25,15.0
2025-01-10,Gurke,47,37.6
2025-01-11,Apfel,44,22.0
2024-12-22,Tomate,36,25.2
2025-01-08,Banane,49,14.7
2025-01-02,Zitrone,5,3.0
2024-12-15,Tomate,13,9.1
2025-01-07,Orange,34,22.1
2024-12-25,Apfel,31,15.5
2024-12-21,Orange,40,26.0
2025-01-05,Tomate,44,30.8
2024-12-21,Paprika,20,20.0
2025-01-09,Karotte,11,4.4
2024-12-28,Paprika,39,39.0
2024-12-15,Paprika,2,2.0
2024-12-31,Banane,46,13.8
2024-12-26,Tomate,19,13.3
2025-01-06,Orange,29,18.85
2024-12-21,Orange,12,7.8
2025-01-08,Paprika,40,40.0
2025-01-05,Karotte,20,8.0
2024-12-19,Apfel,32,16.0
2024-12-23,Karotte,21,8.4
2025-01-06,Gurke,27,21.6
2025-01-07,Paprika,33,33.0
2025-01-02,Zitrone,33,19.8
2024-12-23,Orange,39,25.35
2025-01-05,Tomate,42,29.4
2025-01-06,Paprika,1,1.0
2024-12-18,Zitrone,15,9.0
2024-12-18,Gurke,38,30.4
2024-12-31,Gurke,33,26.4
2024-12-16,Apfel,38,19.0
2025-01-03,Orange,44,28.6
2024-12-27,Apfel,37,18.5
2024-12-22,Tomate,26,18.2
2025-01-06,Karotte,26,10.4
2024-12-18,Orange,45,29.25
2024-12-30,Zitrone,29,17.4
2024-12-20,Zitrone,50,30.0
2024-12-14,Zitrone,7,4.2
2025-01-08,Banane,10,3.0
2025-01-01,Karotte,13,5.2
2024-12-25,Banane,40,12.0
2025-01-07,Apfel,21,10.5
2024-12-17,Gurke,40,32.0
2025-01-10,Karotte,18,7.2
2024-12-20,Orange,25,16.25
2024-12-31,Tomate,23,16.1
2024-12-31,Tomate,2,1.4
2024-12-29,Apfel,13,6.5
2024-12-29,Orange,34,22.1
2025-01-07,Zitrone,23,13.8
2025-01-07,Karotte,29,11.6
2024-12-20,Paprika,23,23.0
2025-01-06,Apfel,6,3.0
2025-01-11,Zitrone,17,10.2
2024-12-27,Banane,31,9.3
2024-12-28,Karotte,49,19.6
2024-12-29,Zitrone,6,3.6
2024-12-26,Banane,19,5.7
2024-12-18,Orange,31,20.15
2024-12-14,Karotte,50,20.0
2024-12-31,Gurke,13,10.4
2024-12-22,Paprika,22,22.0
2024-12-28,Apfel,40,20.0
2025-01-02,Banane,44,13.2
2025-01-01,Zitrone,28,16.8
2024-12-26,Apfel,15,7.5
2024-12-22,Gurke,26,20.8
2025-01-09,Karotte,40,16.0
2024-12-15,Tomate,17,11.9
2025-01-12,Gurke,23,18.4
2024-12-26,Gurke,50,40.0
2025-01-09,Karotte,50,20.0
2024-12-29,Banane,7,2.1
2024-12-26,Paprika,47,47.0
2024-12-21,Gurke,46,36.8
2024-12-28,Gurke,4,3.2
2025-01-07,Karotte,3,1.2
2024-12-30,Orange,22,14.3
2024-12-22,Zitrone,9,5.4
2024-12-31,Apfel,12,6.0
2024-12-21,Paprika,2,2.0
2024-12-21,Banane,42,12.6
