Item,Price,Stock
Item_1,464,80
Item_2,245,78
Item_3,265,52
Item_4,243,94
Item_5,227,16
Item_6,420,84
Item_7,402,5
Item_8,189,39
Item_9,425,10
Item_10,427,56
Item_11,351,55
Item_12,114,41
Item_13,266,63
Item_14,266,95
Item_15,448,22
Item_16,399,56
Item_17,305,38
Item_18,491,14
Item_19,324,9
Item_20,57,37
Item_21,204,10
Item_22,193,86
Item_23,148,77
Item_24,429,26
Item_25,308,40
Item_26,208,58
Item_27,285,80
Item_28,227,14
Item_29,488,62
Item_30,324,83
Item_31,351,94
Item_32,267,37
Item_33,234,41
Item_34,203,67
Item_35,66,37
Item_36,126,23
Item_37,205,45
Item_38,486,41
Item_39,276,66
Item_40,465,29
Item_41,108,71
Item_42,497,73
Item_43,341,7
Item_44,82,51
Item_45,111,85
Item_46,450,95
Item_47,297,96
Item_48,147,22
Item_49,427,17
Item_50,379,16
Item_51,62,34
Item_52,483,9
Item_53,313,74
Item_54,402,19
Item_55,377,61
Item_56,293,32
Item_57,368,58
Item_58,488,23
Item_59,200,85
Item_60,57,82
Item_61,337,80
Item_62,188,41
Item_63,192,82
Item_64,90,28
Item_65,163,9
Item_66,327,82
Item_67,241,84
Item_68,497,62
Item_69,327,55
Item_70,376,64
Item_71,348,14
Item_72,383,95
Item_73,78,70
Item_74,338,48
Item_75,485,24
Item_76,161,30
Item_77,258,94
Item_78,490,72
Item_79,168,34
Item_80,380,56
Item_81,427,39
Item_82,443,97
Item_83,93,87
Item_84,179,60
Item_85,392,56
Item_86,347,67
Item_87,372,44
Item_88,112,86
Item_89,286,41
Item_90,77,69
Item_91,327,79
Item_92,230,70
Item_93,345,62
Item_94,183,29
Item_95,396,5
Item_96,435,62
Item_97,441,95
Item_98,477,30
Item_99,259,23
Item_100,493,46
Item_101,192,63
Item_102,334,60
Item_103,198,65
Item_104,378,59
Item_105,490,85
Item_106,67,44
Item_107,187,12
Item_108,213,3
Item_109,455,24
Item_110,483,41
Item_111,243,40
Item_112,62,32
Item_113,270,41
Item_114,339,45
Item_115,118,19
Item_116,432,64
