Product,Month,Year,Sales
P3,Jan,2023,610
P42,Apr,2022,220
P5,Feb,2022,109
P30,May,2023,828
P16,Apr,2022,677
P14,Mar,2023,438
P10,Jan,2023,727
P50,Mar,2023,798
P39,Jan,2023,577
P26,Jan,2023,696
P5,Feb,2022,397
P21,Apr,2022,904
P29,May,2023,604
P19,Mar,2022,855
P1,Mar,2023,774
P39,Mar,2022,295
P39,Feb,2022,854
P16,Mar,2023,406
P42,Apr,2023,542
P3,Apr,2022,430
P29,Jan,2023,386
P32,Mar,2023,431
P14,Mar,2023,351
P39,May,2023,735
P19,Jan,2022,748
P18,Mar,2022,738
P37,May,2022,187
P14,Apr,2023,594
P18,May,2023,769
P49,Mar,2022,619
P26,May,2022,488
P49,May,2022,331
P33,Jan,2022,822
P6,May,2023,246
P30,Feb,2022,195
P12,Mar,2022,160
P42,Mar,2023,399
P20,Mar,2022,203
P12,Apr,2023,750
P50,Jan,2022,745
P26,May,2023,668
P26,Mar,2022,971
P38,Mar,2022,336
P3,Apr,2023,534
P30,Feb,2023,675
P1,Jan,2023,637
P25,Apr,2023,421
P3,Apr,2022,666
P49,May,2022,549
P29,May,2022,465
P34,Jan,2022,636
P35,Jan,2023,421
P42,May,2022,489
P48,Jan,2022,243
P20,May,2022,944
P13,Feb,2023,625
P25,May,2023,163
P27,Mar,2023,719
P11,May,2023,602
P9,May,2023,329
P24,Apr,2023,326
P19,Jan,2022,324
P5,May,2022,695
P20,Apr,2022,134
P13,Mar,2022,308
P17,Apr,2022,883
P40,Mar,2022,225
P33,May,2023,116
P43,Jan,2023,908
P16,Apr,2023,377
P17,May,2023,346
P46,May,2023,430
P29,May,2022,256
P14,Jan,2022,426
P11,May,2023,977
P18,Apr,2022,992
P14,Mar,2022,594
P44,May,2022,524
P39,Feb,2022,720
P7,Apr,2023,179
P30,Apr,2022,610
P34,Apr,2023,670
P34,Mar,2023,124
P49,Mar,2022,588
P47,Apr,2022,133
P40,May,2023,778
P24,May,2022,987
P7,May,2023,320
P2,May,2022,131
P23,Mar,2022,930
P5,Feb,2023,365
P30,Mar,2022,816
P12,Feb,2022,258
P48,Mar,2022,358
P38,May,2023,111
P50,May,2022,300
P38,Mar,2023,781
P26,May,2022,685
P32,Mar,2023,767
P9,Feb,2022,554
P9,May,2022,597
P1,May,2023,795
P46,Jan,2022,779
P24,Feb,2023,720
P15,Apr,2023,167
P12,Mar,2023,604
P34,Mar,2023,968
P42,Jan,2023,784
P45,May,2023,844
P28,Apr,2023,541
P36,Jan,2022,335
P12,Apr,2023,744
P32,Jan,2022,133
P30,Jan,2022,423
P2,Apr,2022,974
P16,Feb,2022,501
P29,Feb,2023,506
P35,Jan,2022,143
P1,Feb,2023,877
P45,Mar,2022,386
P34,May,2023,976
P41,Feb,2022,661
P27,Jan,2023,266
P16,May,2022,641
P30,Mar,2023,268
P13,Mar,2022,704
P28,Mar,2022,328
P49,Feb,2023,932
P5,Feb,2023,590
P39,Feb,2022,976
P17,May,2023,476
P18,Feb,2022,918
P25,Jan,2022,653
P5,Mar,2023,639
P19,Mar,2022,602
P17,Jan,2022,929
P4,Jan,2022,407
P19,Feb,2023,839
P35,Mar,2023,122
P33,Mar,2023,554
P14,Apr,2022,117
P24,Feb,2022,954
P27,Feb,2022,848
P33,Jan,2023,919
P30,Mar,2023,419
P38,May,2023,390
P37,May,2022,821
P35,Mar,2022,339
P33,May,2023,536
P4,Jan,2023,854
P1,Apr,2023,310
P3,Jan,2022,164
P9,Jan,2022,237
P44,Feb,2023,935
P9,May,2023,633
P50,Apr,2022,217
P3,May,2022,507
P47,Jan,2023,257
P15,Mar,2023,328
P6,Feb,2023,336
P23,May,2023,374
P43,Apr,2023,364
P14,Apr,2023,730
P38,May,2022,255
P40,Jan,2022,596
P7,Mar,2023,375
P19,Mar,2023,703
P32,Jan,2022,174
P50,Apr,2022,581
P35,May,2023,369
P47,Mar,2022,691
P7,Apr,2022,128
P9,Mar,2022,138
P33,Apr,2022,966
P15,May,2022,873
P8,May,2022,435
P17,Jan,2023,297
P43,Apr,2023,341
P50,Feb,2023,340
P23,Jan,2022,737
P29,May,2022,231
P31,Jan,2023,807
P25,Jan,2023,634
P46,Feb,2022,194
P23,May,2022,725
P18,Jan,2022,672
P11,Jan,2023,119
P13,Mar,2022,709
P32,Mar,2023,447
P29,May,2023,625
P37,Mar,2022,366
P32,Feb,2022,402
P5,May,2023,752
P40,Jan,2022,103
P34,Jan,2023,846
P21,Feb,2023,821
P30,Jan,2022,621
P50,Jan,2023,344
P2,Mar,2022,825
P50,Feb,2022,192
P47,Feb,2023,492
P4,Jan,2022,564
P20,Apr,2022,638
P41,Feb,2023,392
P45,Feb,2022,397
P42,Mar,2023,515
P47,Jan,2023,448
P46,Mar,2023,406
P6,May,2022,910
P44,May,2023,972
P11,Feb,2023,702
P46,Jan,2023,538
P14,Apr,2022,768
P46,May,2023,119
P49,Apr,2023,338
P40,Jan,2023,207
P21,Jan,2022,327
P47,May,2023,477
P48,Mar,2023,182
P46,Mar,2022,405
P4,Jan,2022,492
P22,Apr,2023,951
P43,May,2023,352
P16,Apr,2022,318
P21,Apr,2023,995
P1,Feb,2022,653
P16,Feb,2023,690
P12,Mar,2022,515
P16,Feb,2022,307
P40,Apr,2022,769
P30,Feb,2022,598
P34,May,2022,892
P20,Feb,2023,103
P48,Apr,2023,649
P6,Feb,2023,324
P14,May,2023,762
P22,Apr,2022,727
P19,Apr,2023,399
P45,Mar,2023,783
P14,Jan,2023,646
P40,Feb,2023,732
P24,Feb,2023,776
P5,Jan,2022,633
P45,Jan,2023,269
P38,May,2022,490
P50,Jan,2023,391
P49,May,2023,224
P14,May,2022,913
P31,Mar,2023,488
P44,Apr,2023,803
P31,Mar,2023,936
P12,Apr,2023,234
P2,Mar,2022,166
P36,May,2023,358
P26,Apr,2022,654
P49,Jan,2023,970
P7,May,2022,835
P21,Jan,2023,511
P4,Jan,2023,547
P46,Jan,2023,819
P7,Jan,2022,626
P30,Mar,2023,413
P13,May,2023,682
P16,Apr,2022,575
P26,Mar,2022,453
P22,Apr,2022,523
P34,Mar,2023,850
P6,Mar,2023,883
P12,Feb,2022,575
P1,Mar,2022,559
P28,Apr,2023,134
P14,Jan,2022,212
P50,Mar,2023,274
P18,Feb,2023,191
P29,Feb,2023,903
P41,May,2022,196
P39,May,2022,585
P23,May,2022,337
P49,Mar,2022,636
P1,Mar,2022,815
P2,Feb,2023,335
P6,Mar,2022,998
P10,May,2022,322
P10,Apr,2023,655
P29,Mar,2022,276
P35,Jan,2022,164
P15,Apr,2023,292
P28,May,2022,165
P25,Apr,2022,491
P27,Feb,2023,639
P29,Jan,2023,642
P7,Mar,2023,219
P42,Mar,2022,508
P24,Mar,2023,631
P6,Jan,2022,778
P44,May,2022,273
P1,Feb,2023,146
P27,Feb,2022,956
P41,May,2023,263
P32,Jan,2023,487
