OrderID,CustomerID,Product,Quantity
O1,C52,Monitor,3
O2,C2,Monitor,1
O3,C14,Monitor,4
O4,C26,Monitor,3
O5,C82,Monitor,1
O6,C33,Laptop,1
O7,C28,Tablet,3
O8,C165,Smartphone,2
O9,C42,Printer,3
O10,C29,Monitor,2
O11,C145,Tablet,1
O12,C21,Laptop,2
O13,C118,Smartphone,1
O14,C161,Printer,2
O15,C147,Tablet,3
O16,C126,Laptop,1
O17,C38,Smartphone,4
O18,C155,Tablet,1
O19,C43,Tablet,3
O20,C185,Monitor,3
O21,C96,Smartphone,2
O22,C67,Printer,1
O23,C142,Monitor,3
O24,C193,Monitor,4
O25,C74,Tablet,2
O26,C114,Tablet,4
O27,C114,Printer,4
O28,C1,Printer,2
O29,C69,Tablet,1
O30,C17,Laptop,3
O31,C122,Tablet,1
O32,C77,Monitor,3
O33,C66,Tablet,3
O34,C157,Laptop,1
O35,C139,Printer,4
O36,C110,Monitor,2
O37,C91,Smartphone,2
O38,C191,Laptop,2
O39,C61,Smartphone,1
O40,C37,Monitor,1
O41,C59,Monitor,4
O42,C69,Monitor,1
O43,C76,Printer,2
O44,C96,Tablet,3
O45,C52,Printer,3
O46,C190,Monitor,1
O47,C2,Tablet,1
O48,C15,Printer,2
O49,C59,Laptop,4
O50,C91,Smartphone,2
O51,C176,Printer,2
O52,C12,Tablet,1
O53,C169,Tablet,2
O54,C152,Smartphone,2
O55,C89,Monitor,4
O56,C45,Tablet,4
O57,C94,Laptop,2
O58,C28,Printer,2
O59,C110,Smartphone,3
O60,C73,Laptop,2
O61,C9,Printer,1
O62,C165,Laptop,3
O63,C13,Tablet,3
O64,C54,Monitor,3
O65,C18,Smartphone,4
O66,C40,Tablet,3
O67,C6,Monitor,3
O68,C155,Laptop,2
O69,C131,Printer,2
O70,C105,Smartphone,2
O71,C23,Printer,2
O72,C113,Monitor,2
O73,C6,Smartphone,2
O74,C132,Smartphone,1
O75,C101,Tablet,3
O76,C45,Tablet,4
O77,C51,Tablet,4
O78,C135,Laptop,2
O79,C71,Printer,4
O80,C21,Monitor,1
O81,C125,Smartphone,3
O82,C69,Laptop,2
O83,C190,Printer,4
O84,C123,Tablet,3
O85,C14,Monitor,1
O86,C34,Tablet,3
O87,C26,Laptop,4
O88,C152,Tablet,3
O89,C105,Tablet,2
O90,C83,Laptop,3
O91,C47,Laptop,1
O92,C46,Laptop,3
O93,C77,Smartphone,4
O94,C15,Tablet,3
O95,C21,Laptop,3
O96,C96,Laptop,2
O97,C35,Laptop,3
O98,C147,Smartphone,1
O99,C97,Smartphone,1
O100,C27,Monitor,1
O101,C65,Printer,2
O102,C82,Laptop,3
O103,C143,Smartphone,4
O104,C42,Smartphone,2
O105,C19,Monitor,2
O106,C54,Tablet,4
O107,C64,Laptop,2
O108,C165,Printer,1
O109,C72,Printer,1
O110,C87,Monitor,1
O111,C106,Printer,2
O112,C110,Smartphone,2
O113,C92,Tablet,2
O114,C104,Monitor,4
O115,C2,Smartphone,1
O116,C4,Tablet,4
O117,C84,Monitor,3
O118,C150,Tablet,4
O119,C169,Smartphone,4
O120,C88,Monitor,2
O121,C187,Tablet,4
O122,C88,Tablet,3
O123,C82,Printer,4
O124,C197,Tablet,1
O125,C108,Monitor,3
O126,C157,Tablet,4
O127,C27,Tablet,3
O128,C131,Smartphone,3
O129,C102,Laptop,3
O130,C23,Tablet,4
O131,C9,Tablet,1
O132,C160,Tablet,3
O133,C56,Smartphone,3
O134,C125,Tablet,1
O135,C164,Laptop,1
O136,C71,Laptop,2
O137,C40,Monitor,3
O138,C69,Smartphone,4
O139,C155,Laptop,1
O140,C45,Smartphone,1
O141,C46,Tablet,2
O142,C98,Laptop,1
O143,C129,Laptop,4
O144,C115,Laptop,2
O145,C111,Monitor,2
O146,C110,Printer,3
O147,C77,Laptop,3
O148,C137,Printer,4
O149,C154,Smartphone,4
O150,C64,Tablet,3
O151,C9,Tablet,2
O152,C81,Monitor,3
O153,C186,Tablet,1
O154,C87,Smartphone,3
O155,C15,Monitor,3
O156,C140,Monitor,4
O157,C47,Smartphone,2
O158,C127,Monitor,4
O159,C171,Printer,2
O160,C55,Laptop,2
O161,C34,Smartphone,4
O162,C95,Monitor,4
O163,C82,Tablet,1
O164,C14,Printer,4
O165,C2,Printer,4
O166,C75,Laptop,3
O167,C7,Monitor,4
O168,C100,Printer,1
O169,C120,Printer,3
O170,C32,Laptop,4
O171,C3,Monitor,3
O172,C194,Smartphone,4
O173,C34,Tablet,4
O174,C24,Laptop,3
O175,C186,Printer,3
O176,C73,Printer,2
O177,C91,Laptop,2
O178,C51,Smartphone,1
O179,C82,Smartphone,2
O180,C76,Tablet,1
O181,C197,Monitor,2
O182,C88,Tablet,3
O183,C91,Monitor,4
O184,C20,Tablet,4
O185,C47,Smartphone,1
O186,C194,Tablet,4
O187,C131,Laptop,1
O188,C143,Tablet,1
O189,C26,Monitor,3
O190,C178,Smartphone,2
O191,C57,Printer,4
O192,C200,Laptop,4
O193,C121,Smartphone,3
O194,C92,Printer,2
O195,C110,Tablet,3
O196,C6,Laptop,3
O197,C101,Printer,2
O198,C38,Tablet,4
O199,C188,Printer,4
O200,C115,Monitor,1
O201,C78,Smartphone,4
O202,C134,Printer,4
O203,C101,Smartphone,3
O204,C99,Tablet,3
O205,C127,Printer,4
O206,C59,Printer,1
O207,C181,Laptop,4
O208,C96,Laptop,4
O209,C95,Laptop,4
O210,C82,Tablet,2
O211,C125,Monitor,2
O212,C30,Monitor,4
O213,C6,Smartphone,4
O214,C144,Laptop,3
O215,C69,Tablet,3
O216,C156,Laptop,3
O217,C160,Tablet,4
O218,C155,Printer,2
O219,C173,Monitor,4
O220,C19,Laptop,3
O221,C61,Printer,3
O222,C40,Printer,4
O223,C88,Tablet,2
O224,C16,Printer,4
O225,C56,Laptop,3
O226,C6,Smartphone,2
O227,C154,Smartphone,4
O228,C27,Printer,2
O229,C145,Monitor,3
O230,C143,Smartphone,2
O231,C95,Printer,4
O232,C35,Laptop,3
O233,C199,Smartphone,1
O234,C79,Printer,1
O235,C53,Smartphone,3
O236,C75,Laptop,2
O237,C19,Tablet,2
O238,C86,Monitor,2
O239,C18,Smartphone,4
O240,C134,Laptop,1
O241,C117,Laptop,3
O242,C34,Printer,3
O243,C150,Tablet,1
O244,C41,Printer,3
O245,C3,Monitor,4
O246,C122,Tablet,2
O247,C128,Tablet,3
O248,C59,Printer,1
O249,C154,Tablet,2
O250,C199,Smartphone,2
O251,C59,Laptop,2
O252,C98,Laptop,2
O253,C185,Monitor,4
O254,C125,Tablet,3
O255,C198,Monitor,1
O256,C12,Monitor,4
O257,C91,Laptop,3
O258,C19,Tablet,3
O259,C53,Printer,4
O260,C163,Tablet,4
O261,C113,Printer,4
O262,C72,Printer,4
O263,C60,Laptop,1
O264,C49,Smartphone,4
O265,C8,Tablet,4
O266,C148,Laptop,3
O267,C191,Tablet,3
O268,C162,Smartphone,1
O269,C181,Tablet,2
O270,C171,Printer,3
O271,C37,Smartphone,3
O272,C60,Monitor,2
