Produkt,Umsatz_Feb
P1,363
P2,708
P3,355
P4,549
P5,718
P6,937
P7,446
P8,464
P9,253
P10,622
P11,131
P12,599
P13,925
P14,739
P15,370
P16,700
P17,970
P18,562
P19,204
P20,292
P21,862
P22,399
P23,401
P24,216
P25,151
P26,784
P27,924
P28,468
P29,700
P30,302
P31,794
P32,312
P33,582
P34,740
P35,294
P36,114
P37,430
P38,614
P39,918
P40,880
P41,777
P42,112
P43,404
P44,649
P45,993
P46,842
P47,504
P48,822
P49,991
P50,524
P51,547
P52,306
P53,135
P54,266
P55,364
P56,259
P57,667
P58,997
P59,930
P60,877
P61,420
P62,393
P63,436
P64,138
P65,955
P66,258
P67,524
P68,508
P69,853
P70,718
P71,320
P72,933
P73,950
P74,891
P75,463
P76,989
P77,945
P78,437
P79,228
P80,498
P81,209
P82,506
P83,757
P84,333
P85,240
P86,191
P87,297
P88,728
P89,955
P90,847
P91,341
P92,612
P93,558
P94,744
P95,217
P96,863
P97,367
P98,643
P99,211
P100,249
