Produkt,Umsatz_Jan
P1,865
P2,703
P3,713
P4,691
P5,450
P6,611
P7,576
P8,984
P9,247
P10,144
P11,378
P12,465
P13,471
P14,439
P15,924
P16,178
P17,203
P18,443
P19,103
P20,481
P21,488
P22,926
P23,976
P24,766
P25,523
P26,188
P27,708
P28,848
P29,984
P30,757
P31,470
P32,240
P33,839
P34,605
P35,703
P36,904
P37,683
P38,400
P39,539
P40,240
P41,525
P42,915
P43,797
P44,922
P45,696
P46,198
P47,540
P48,308
P49,480
P50,738
P51,149
P52,884
P53,651
P54,861
P55,990
P56,421
P57,745
P58,172
P59,273
P60,550
P61,239
P62,978
P63,540
P64,976
P65,221
P66,210
P67,311
P68,918
P69,179
P70,688
P71,882
P72,746
P73,898
P74,364
P75,147
P76,996
P77,933
P78,138
P79,577
P80,122
P81,887
P82,869
P83,856
P84,825
P85,533
P86,841
P87,873
P88,899
P89,876
P90,792
P91,855
P92,186
P93,402
P94,161
P95,988
P96,666
P97,984
P98,728
P99,316
P100,743
