id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2818,Quiet Garden View Room & Super Fast Wi-Fi,3159,Daniel,,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,66,3,398,2025-01-03,2.05,1,10,31,0363 5F3A 5684 6750 D14D
27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,,Centrum-West,52.38761,4.89188,Private room,,3,294,2025-02-17,1.84,1,88,27,0363 974D 4986 7411 88D8
28871,Comfortable double room,124245,Edwin,,Centrum-West,52.36775,4.89092,Private room,75,2,677,2025-02-28,3.83,2,84,94,0363 607B EA74 0BD8 2F6F
29051,Comfortable single room,124245,Edwin,,Centrum-Oost,52.36584,4.89111,Private room,59,2,794,2025-03-02,4.67,2,84,85,0363 607B EA74 0BD8 2F6F
44391,Quiet 2-bedroom Amsterdam city centre apartment,194779,Jan,,Centrum-Oost,52.37168,4.91471,Entire home/apt,,3,42,2022-08-20,0.24,1,0,0,0363 E76E F06A C1DD 172C
48373,Cozy family home in Amsterdam South,220434,Vesna & Misha,,Buitenveldert - Zuidas,52.327807756778164,4.87680005722526,Entire home/apt,,3,5,2024-04-28,0.25,1,0,3,0363 4A2B A6AD 0196 F684
49552,Multatuli Luxury Guest Suite in top location,225987,Joanna & MP,,Centrum-West,52.38028,4.89089,Entire home/apt,259,3,578,2025-02-11,3.31,1,197,57,0363 576A D827 5085 6B83
50263,Cent Adam de Lux 2 bedrooms (4p) apt 125 sqm,230246,Donald,,Centrum-Oost,52.37118,4.93146,Entire home/apt,404,3,166,2024-08-18,0.95,1,349,7,0363 7F3D 0BAE 28C8 C7D2
50515,"Family Home (No drugs, smoking or parties)",231864,Karin,,Bos en Lommer,52.37559,4.83857,Entire home/apt,229,7,18,2025-02-19,0.14,1,83,5,0363 5DDB E495 A6D5 CEC6
50523,B & B de 9 Straatjes (city center),231946,Raymond,,Centrum-West,52.36811,4.88262,Entire home/apt,150,2,516,2025-02-12,2.99,1,179,68,0363 22DC 0E52 B70B 0FB8
53921,Amsterdam Stylish Lakeview Apartment,252245,Ingrid,,IJburg - Zeeburgereiland,52.35559,5.0032,Entire home/apt,,1,12,2024-05-25,0.16,1,0,4,0363 B43C B1D4 2666 3739
55709,Bright Loft in Centre Amsterdam,263233,Jan-Willem,,Centrum-Oost,52.358112,4.897637,Entire home/apt,,11,68,2024-03-01,0.39,1,7,0,0363 E295 7D15 8420 343E
55868,Apartment near Museumplein (centre),264178,Cornelie,,Zuid,52.35597,4.88512,Entire home/apt,,3,96,2023-08-07,0.56,1,0,0,0363 B5A3 5F63 B032 A320
62015,"Charming, beautifully & sunny place",301340,Jessica,,Oud-Oost,52.36431,4.93122,Entire home/apt,200,2,38,2024-03-31,0.22,1,28,2,0363 B090 499C D757 7F4F
80635,TOP LOCATED Canalhouse B&B Jordaan,436145,Riks,,Centrum-West,52.37828,4.8944,Private room,,3,241,2022-12-31,1.42,4,0,0,0363 4108 6EC3 C2FF 2493
91535,"Privat room and shared Houseboat ""Ramona"" centre",494281,Michiel,,De Pijp - Rivierenbuurt,52.35774,4.89647,Private room,,1,269,2025-02-16,1.62,1,38,72,0363 74BA 2074 E0CF 1CB8
97221,Beautiful and spacious room,195859,Gianni,,Slotervaart,52.34801,4.83639,Private room,56,2,389,2025-01-29,2.34,2,292,64,0363 BCBA 6311 3268 DC8C
137026,Entire house with garden in De Pijp,670266,Ton & Fede,,De Pijp - Rivierenbuurt,52.35178,4.90699,Entire home/apt,315,2,109,2024-11-03,0.68,1,163,5,0363 67D6 8568 BA8A F738
155548,Apartment 2 minutes from Centrum!,748161,Maria,,Oud-Oost,52.3642,4.92829,Entire home/apt,,3,21,2019-08-20,0.13,1,0,0,0363 A562 4D7E 4A91 60DF
158633,"Typical Dutch house, quiet area, close to centre",761321,Marlouke,,Noord-Oost,52.39364,4.94538,Entire home/apt,279,3,17,2024-08-17,0.10,1,61,3,0363 D141 1024 C60E 96BA
168769,"SUPERLOCATED Room in  CANALHOUSE, Private bath",436145,Riks,,Centrum-West,52.37956,4.89359,Private room,,3,278,2022-12-29,1.70,4,0,0,0363 4108 6EC3 C2FF 2493
171054,Spacious apartment next to center,815989,Kamiel,,De Baarsjes - Oud-West,52.36768,4.86646,Entire home/apt,,3,103,2018-11-28,0.62,1,0,0,0363 BDF7 C0EC 9B88 DECA
179528,Authentic Amsterdam apartment RAI,856540,Pierre,,De Pijp - Rivierenbuurt,52.34332,4.89484,Entire home/apt,298,10,36,2024-09-25,0.22,2,207,3,0363 1C26 67B4 C610 1758
188347,"Well-lit, Cozy Room in Amsterdam West",907405,Yahav,,De Baarsjes - Oud-West,52.3683,4.85446,Private room,55,3,452,2025-02-24,2.74,1,52,49,0363 7C68 38F7 176D 8CDF
189754,Metropolitan B&B centre Amsterdam,915591,Marijn,,Centrum-West,52.37548,4.89398,Entire home/apt,208,2,395,2025-02-23,2.41,1,182,48,0363 08BD B22D FCC2 5F83
190943,Lovely light appartment with garden,922787,Nanna,,Zuid,52.35222,4.84789,Entire home/apt,,4,14,2024-07-07,0.09,1,0,1,0363 4A1B 33D4 F6C1 F255
193038,Private Loft&Bathroom  Ensuite Studio Ctr Amsterda,935742,Johan,,Centrum-Oost,52.36057,4.89671,Private room,,3,717,2025-02-17,4.37,1,10,32,0363 E04C 4DED 8CA7 F902
212050,Spacious home w roof garden,887591,Danielle,,De Baarsjes - Oud-West,52.36698,4.86622,Entire home/apt,,4,23,2024-08-06,0.14,1,0,1,0363 9A8D FAD3 3822 96CB
213371,Spacious apartment in De Pijp,1100324,Hendrik,,De Pijp - Rivierenbuurt,52.3515,4.89656,Entire home/apt,,4,23,2023-06-17,0.14,1,0,0,0363 F88F 4B47 6E9B 225B
214531,LUXURIOUS GUESTHOUSE in CITY CENTER,1107389,Henry,,Centrum-West,52.37169,4.89446,Private room,,3,169,2022-06-26,1.04,1,0,0,0363 1939 7BED DDCD 0353
219276,Suite in Canalhouse in the heart of the center,1135329,Amsterdam Boutique Apartments,,Centrum-West,52.36883,4.88749,Private room,,2,16,2022-10-23,0.10,1,18,0,0363 1179 146A FBDB 79FC
245927,Sonnenberg - Canal side & view - Private & Central,1005087,Wytse,,Centrum-West,52.36815,4.88604,Entire home/apt,279,2,254,2025-02-28,1.62,1,279,43,0363 E3FA A6F6 2112 7636
247805,"Bellavista, central,with canal view",1298735,Carolien,,De Baarsjes - Oud-West,52.36707,4.87348,Private room,116,2,527,2025-02-13,3.26,1,48,70,0363 157A 14AF 5451 77C3
252080,Amazing 200 m2 apartment historical centre,1322517,Evan,,Centrum-Oost,52.36936,4.90963,Entire home/apt,,3,26,2025-02-18,0.16,1,0,6,0363 4B98 6C27 7CA6 62B9
254800,Amazing apartment in city center,1337537,Diederik,,Centrum-West,52.37122,4.88211,Entire home/apt,,2,63,2022-10-14,0.44,1,0,0,0363 7E3F 1742 B05C 9E62
255809,Stylish apartment free carpark,1344947,André Charles,,De Pijp - Rivierenbuurt,52.34416,4.88709,Private room,186,2,245,2025-02-16,1.57,1,234,51,0363 A842 020A 9193 B416
256670,Beautifully renovated family apartment,1350388,Stefan En Annemiek,,De Baarsjes - Oud-West,52.35861,4.86023,Entire home/apt,,5,9,2024-08-02,0.06,1,13,1,0363 C0B2 9294 5CCE 6AF3
262394,Charming Studio with Roof Terrace,1376607,Martin,,Zuid,52.35695,4.85234,Private room,,3,113,2019-10-07,0.72,1,0,0,0363 B86D 98DE 3A24 8790
274706,Beautiful central & quiet apartment,1436134,Veronica,,Centrum-West,52.36563,4.88454,Entire home/apt,,4,44,2023-11-09,0.28,1,0,0,0363 F472 5456 72A2 0AD1
283170,5-bedrooms house; central location; free parking,1451657,Marco,,Zuid,52.35435,4.87316,Entire home/apt,1190,2,129,2024-06-24,0.82,1,270,4,0363 0240 34A0 48C3 6D81
286500,"Centre, canal view with private bathroom",1491565,David,,Centrum-West,52.37561,4.9,Private room,147,3,401,2025-02-23,2.52,2,181,29,0363 DF01 FBC0 496B 9730
290701,"Central, big window, rear room with private bath.",1491565,David,,Centrum-West,52.37561,4.9,Private room,147,3,485,2025-02-15,3.06,2,216,38,0363 DF01 FBC0 496B 9730
291752,Cozy & large bohemian style room,1511330,Ton,,Oud-Oost,52.35179,4.91082,Private room,150,3,271,2024-10-09,1.69,1,297,18,0363 6ACC BA1B 12A9 60C1
304082,"Private, quiet studio in the centre with terrace",276068,Mirre,,Centrum-West,52.37239,4.89657,Entire home/apt,165,3,344,2025-02-15,2.18,1,218,50,0363 6C40 7413 ADD3 9AF8
304143,Unique Beautiful Houseboat (ship),1565319,Dick,,Oud-Oost,52.3623,4.92028,Entire home/apt,,28,50,2020-03-07,0.31,1,0,0,0363AF9644094CEBCE6B
306852,"SunShine, A Sunny Amsterdam Center Special",1141485,Gisèle And Simon,,Centrum-Oost,52.35931,4.89844,Entire home/apt,234,4,32,2023-04-01,0.21,3,0,0,0363 33C3 B936 3911 FC42
307497,Historical sailing ship Amsterdam,1582128,Jorn,,Westerpark,52.39185,4.8869,Entire home/apt,385,2,103,2024-05-12,0.68,2,241,1,Exempt
307621,"SunBird, Sunny Apt in Quiet Street",1141485,Gisèle And Simon,,Centrum-Oost,52.35871,4.89616,Entire home/apt,133,3,6,2023-03-27,0.04,3,0,0,0363 33C3 B936 3911 FC42
308028,"SunFlower, A Sunny B&B",1141485,Gisèle And Simon,,Centrum-Oost,52.35972,4.8975,Private room,100,3,36,2023-02-28,0.27,3,0,0,0363 33C3 B936 3911 FC42
311124,*historic centre* *bright* *canal view* *Jordaan*,1600010,Anke & Robert,,Centrum-West,52.37104,4.87713,Entire home/apt,325,5,96,2025-01-02,0.61,1,342,6,0363 59D8 7D30 6CFA DC81
327285,beautiful designed ap.+bikes+garden+boat!,1672823,Ester,,De Pijp - Rivierenbuurt,52.35625,4.89323,Private room,197,3,732,2025-02-28,4.63,1,67,92,0363 8A88 B129 62B5 BD4E
331946,great family house only suitable for fam with kids,1687595,Sebastiaan,,De Baarsjes - Oud-West,52.3606,4.85739,Entire home/apt,275,2,35,2025-01-02,0.25,1,5,7,0363 A942 21DC C431 1AD1
343094,Amstel Nest - an urban retreat for two,1740785,Rob & Fang,,Oud-Oost,52.35715,4.90926,Private room,104,5,565,2025-02-16,3.61,1,164,45,0363 FC71 F7DB 3AB4 3C42
357980,★ STYLISH FAMILY HOME - CITY CENTER,1811745,Marre,,De Baarsjes - Oud-West,52.36348,4.87648,Entire home/apt,245,3,137,2024-08-12,0.87,1,25,4,0363 799F 0610 C059 F9F4
359298,Sunny Roof Top in Beautiful Area,1817922,Olly & Josh,,Centrum-Oost,52.36427,4.91063,Entire home/apt,171,2,112,2025-01-04,0.71,1,39,10,0363 2C03 2839 16EE 011F
366438,Private apartment@ city centre & canal view,1849988,Nicolet,,Centrum-Oost,52.367377549542454,4.896707133551012,Private room,,3,545,2025-02-12,3.47,1,254,38,0363 BD40 0F80 50E7 8478
367107,"IN HISTORIC CENTRE, NEXT TO AMSTEL, PEACEFUL HOME",1853421,Marijn,,Centrum-Oost,52.36263,4.90216,Entire home/apt,299,5,21,2024-10-26,0.18,1,315,2,0363 1761 5C93 2C93 93FE
379885,Private Studio Houseboat *BEST VIEW* @Amstel,1907015,Masha,,De Pijp - Rivierenbuurt,52.354647769336964,4.906100814228655,Private room,164,3,94,2023-10-29,0.60,1,185,0,0363 3FE4 07B5 85AA 55F8
414865,"Charming house, perfect for two!",2063261,Miranda,,Zuid,52.35043,4.84676,Entire home/apt,180,4,11,2024-08-11,0.09,1,17,2,0363 DC39 26C1 3541 47BF
415619,Sunny Amsterdam East Harbor View,1336633,Stephan,,Oostelijk Havengebied - Indische Buurt,52.36905,4.93528,Entire home/apt,123,2,87,2024-09-30,0.56,1,61,6,0363 09A6 8FFA 6EC4 805F
440992,Charming houseboat near Olympic St.,2191136,Jan,,Zuid,52.341621,4.849049,Entire home/apt,170,3,134,2024-06-30,0.86,1,64,6,0363 6532 4C0A A235 9114
441424,Family house in centre of Amsterdam,2193861,Marco,,Oostelijk Havengebied - Indische Buurt,52.37281,4.94303,Entire home/apt,157,4,43,2025-01-01,0.28,1,12,3,0363B9396B464F7B165A
450767,Houseboat 'Saturnus' Amsterdam,2238440,Richard En Birgit,,Centrum-Oost,52.37006,4.90081,Entire home/apt,312,3,302,2025-02-16,2.00,2,194,64,0363 DB37 0A9B 68B2 4474
462341,Central 17th Century Unique House,2297302,Milen & Joes,,Centrum-West,52.3739,4.89263,Entire home/apt,224,5,48,2025-02-19,0.40,1,5,5,0363 C83F 9271 BA8F 23ED
483779,Spacious studio apartment in A'dam,2395278,Alexei Vladimirovič,,Slotervaart,52.3509,4.83293,Private room,,2,34,2017-10-22,0.33,1,0,0,0363 0306 F66C F808 A78D
496953,Luxury design B&B in city centre,2453971,Kim,,De Baarsjes - Oud-West,52.36385,4.87483,Private room,250,1,28,2018-12-31,0.18,1,89,0,0363 A70C E031 9597 F8A8
503629,"Quiet & spacious apt, near Museums & Concertgebouw",2483843,Alban,,Zuid,52.3543,4.87701,Entire home/apt,,5,11,2019-07-28,0.08,1,0,0,0363 E959 5BC3 BBA6 1C6E
505012,"Amsterdam centrum, perfect familiehuis",1645998,Djoke,,Centrum-Oost,52.36412,4.88757,Entire home/apt,630,3,61,2023-05-10,0.41,1,29,0,0363 5F8A A57B 18E0 63BB
507598,Canal View Apartment! Jordaan Area,2501656,Stephanie,,Centrum-West,52.37694,4.88003,Entire home/apt,500,2,62,2019-06-16,0.40,1,81,0,0363 E6C4 FEF6 F27C DCF5
515088,Familyfriendly Suite incl breakfast,2536879,Hansje,,Noord-Oost,52.39675,4.99603,Entire home/apt,217,2,1,2019-03-10,0.01,1,365,0,0363 0A94 AAA2 B228 0695
515749,Unique and luxury houseboat,2540480,Derk,,Centrum-Oost,52.35902,4.89606,Entire home/apt,,3,300,2025-02-16,1.95,1,188,31,0363CB2056581DF32788
